timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1580478034963,239,HTTP Request,204,No Content,Thread Group 1-43,text,true,,339,559,104,104,http://127.0.0.1:8000/api/checkout,0,0,10
1580478034947,450,HTTP Request,204,No Content,Thread Group 1-35,text,true,,339,559,156,156,http://127.0.0.1:8000/api/checkout,0,0,25
1580478034946,638,HTTP Request,204,No Content,Thread Group 1-21,text,true,,339,559,198,198,http://127.0.0.1:8000/api/checkout,0,0,27
1580478034946,824,HTTP Request,204,No Content,Thread Group 1-5,text,true,,339,559,247,247,http://127.0.0.1:8000/api/checkout,0,0,27
1580478034948,1015,HTTP Request,204,No Content,Thread Group 1-18,text,true,,339,559,246,246,http://127.0.0.1:8000/api/checkout,0,0,25
1580478034947,1201,HTTP Request,204,No Content,Thread Group 1-7,text,true,,339,559,245,245,http://127.0.0.1:8000/api/checkout,0,0,27
1580478034952,1365,HTTP Request,204,No Content,Thread Group 1-40,text,true,,339,559,244,244,http://127.0.0.1:8000/api/checkout,0,0,23
1580478034946,1554,HTTP Request,204,No Content,Thread Group 1-29,text,true,,339,559,243,243,http://127.0.0.1:8000/api/checkout,0,0,29
1580478034949,1733,HTTP Request,204,No Content,Thread Group 1-34,text,true,,339,559,242,242,http://127.0.0.1:8000/api/checkout,0,0,26
1580478034949,1911,HTTP Request,204,No Content,Thread Group 1-32,text,true,,339,559,241,241,http://127.0.0.1:8000/api/checkout,0,0,27
1580478034945,2088,HTTP Request,204,No Content,Thread Group 1-30,text,true,,339,559,240,240,http://127.0.0.1:8000/api/checkout,0,0,31
1580478034947,2276,HTTP Request,204,No Content,Thread Group 1-36,text,true,,339,559,239,239,http://127.0.0.1:8000/api/checkout,0,0,29
1580478034947,2450,HTTP Request,204,No Content,Thread Group 1-8,text,true,,339,559,238,238,http://127.0.0.1:8000/api/checkout,0,0,30
1580478034949,2621,HTTP Request,204,No Content,Thread Group 1-33,text,true,,339,559,237,237,http://127.0.0.1:8000/api/checkout,0,0,28
1580478034948,2797,HTTP Request,204,No Content,Thread Group 1-11,text,true,,339,559,236,236,http://127.0.0.1:8000/api/checkout,0,0,29
1580478035602,2255,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to 127.0.0.1:8000 [/127.0.0.1] failed: Connection refused: connect,Thread Group 1-206,text,false,,2789,0,235,235,http://127.0.0.1:8000/api/checkout,0,0,2255
